Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
60,GB3DG,145.775,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Newton Stewart,,,,
61,GB3DI,433.15,+,1.6,Tone,118.8,118.8,023,NN,FM,25.00,,Didcot,,,,
62,GB3DM,430.925,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Dumbarton,,,,
63,GB3DN,145.6375,-,0.6,Tone,77,77,023,NN,FM,12.50,,Stibb Cross,,,,
64,GB3DP,430.8625,+,7.6,Tone,88.5,88.5,023,NN,FM,25.00,,Baston,,,,
65,GB3DQ,430.975,+,7.6,Tone,77,77,023,NN,FM,25.00,,Polperro,,,,
66,GB3DR,145.7375,-,0.6,Tone,0,0,023,NN,FM,12.50,,Weymouth,,,,
67,GB3DS,433.325,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Worksop,,,,
68,GB3DT,433,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Blandford,,,,
69,GB3DU,145.7625,-,0.6,Tone,118.8,118.8,023,NN,FM,12.50,,Duns,,,,
70,GB3DX,433.3,+,1.6,Tone,110.9,110.9,023,NN,FM,25.00,,Derry/londonderry,,,,
71,GB3DY,433.25,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Wirksworth,,,,
72,GB3DZ,430.9875,+,7.6,Tone,71.9,71.9,023,NN,FM,25.00,,Derby,,,,
73,GB3EA,145.6875,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Wickhambrook,,,,
74,GB3EB,145.7875,-,0.6,Tone,88.5,88.5,023,NN,FM,12.50,,Newhaven,,,,
75,GB3ED,430.8875,+,7.6,Tone,94.8,94.8,023,NN,FM,25.00,,Edinburgh,,,,
76,GB3EE,433.3,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Mansfield,,,,
77,GB3EF,50.72,+,0.5,Tone,110.9,110.9,023,NN,FM,Stowmarket,,,,
78,GB3EG,430.9125,+,7.6,Tone,82.5,82.5,023,NN,FM,25.00,,Wigan,,,,
79,GB3EH,430.9625,+,7.6,Tone,67,67,023,NN,FM,25.00,,Banbury,,,,
80,GB3EI,145.6125,-,0.6,Tone,88.5,88.5,023,NN,FM,12.50,,Lochmaddy,,,,
81,GB3EK,430.8875,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Margate,,,,
82,GB3EM,145.7625,-,0.6,Tone,77,77,023,NN,FM,12.50,,Cold Ashby,,,,
83,GB3ER,433.075,+,1.6,Tone,110.9,110.9,023,NN,FM,25.00,,Danbury,,,,
84,GB3ES,145.675,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Hastings,,,,
85,GB3EU,438.4375,-,7.6,Tone,77,77,023,NN,FM,25.00,,Cold Ashby,,,,
86,GB3EV,145.7,-,0.6,Tone,77,77,023,NN,FM,12.50,,Dufton,,,,
87,GB3EW,145.6125,-,0.6,Tone,77,77,023,NN,FM,12.50,,Exeter,,,,
88,GB3EX,430.95,+,7.6,Tone,77,77,023,NN,FM,25.00,,Silverton,,,,
89,GB3EZ,430.975,+,7.6,Tone,110.9,110.9,023,NN,FM,25.00,,Wickhambrook,,,,
90,GB3FA,145.7125,-,0.6,Tone,82.5,82.5,023,NN,FM,12.50,,Sheffield,,,,
91,GB3FC,430.85,+,7.6,Tone,82.5,82.5,023,NN,FM,25.00,,Blackpool,,,,
92,GB3FE,145.6625,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Stirling,,,,
93,GB3FF,145.6,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Upper Largo,,,,
94,GB3FG,145.7125,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Carmarthen,,,,
95,GB3FH,50.77,+,0.5,Tone,77,77,023,NN,FM,Somerset,,,,
96,GB3FI,430.925,+,7.6,Tone,77,77,023,NN,FM,25.00,,Cheddar,,,,
97,GB3FJ,430.95,+,7.6,Tone,71.9,71.9,023,NN,FM,25.00,,Asgarby,,,,
98,GB3FK,145.75,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Folkestone,,,,
99,GB3FN,433.375,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Farnham,,,,
100,GB3FR,145.775,-,0.6,Tone,71.9,71.9,023,NN,FM,12.50,,Spilsby Lincs.,,,,
101,GB3FU,145.75,-,0.6,Tone,71.9,71.9,023,NN,FM,12.50,,Nottingham,,,,
102,GB3FV,430.8125,+,7.6,Tone,88.5,88.5,023,NN,FM,25.00,,Stirling,,,,
103,GB3FX,50.81,+,0.5,Tone,82.5,82.5,023,NN,FM,Farnham,,,,
104,GB3GB,439.3375,-,9,Tone,67,67,023,NN,FM,25.00,,Sutton Coldfield,,,,
105,GB3GC,50.73,+,0.5,Tone,77,77,023,NN,FM,Liskeard,,,,
106,GB3GD,145.625,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Snaefell Iom,,,,
107,GB3GF,433.3,+,1.6,Tone,88.5,88.5,023,NN,FM,25.00,,Guildford,,,,
108,GB3GH,433.125,+,1.6,Tone,118.8,118.8,023,NN,FM,25.00,,Gloucester,,,,
109,GB3GJ,145.6375,-,0.6,Tone,71.9,71.9,023,NN,FM,12.50,,St Helier,,,,
110,GB3GL,430.9,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Glasgow,,,,
111,GB3GN,145.775,-,0.6,Tone,67,67,023,NN,FM,12.50,,Banchory,,,,
112,GB3GO,145.7875,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Llandudno,,,,
113,GB3GR,430.85,+,7.6,Tone,71.9,71.9,023,NN,FM,25.00,,Grantham,,,,
114,GB3GU,433.325,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Guernsey,,,,
115,GB3HA,145.75,-,0.6,Tone,118.8,118.8,023,NN,FM,12.50,,Hexham,,,,
116,GB3HB,433.375,+,1.6,Tone,77,77,023,NN,FM,25.00,,Roche,,,,
117,GB3HC,433.15,+,1.6,Tone,118.8,118.8,023,NN,FM,25.00,,Hereford,,,,
118,GB3HD,433.225,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Huddersfield,,,,
119,GB3HE,430.925,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Hastings,,,,
120,GB3HF,29.69,-,0.1,Tone,103.5,103.5,023,NN,FM,Llangollen,,,,
121,GB3HG,145.625,-,0.6,Tone,88.5,88.5,023,NN,FM,12.50,,Thirsk,,,,
122,GB3HH,145.7,-,0.6,Tone,71.9,71.9,023,NN,FM,12.50,,Buxton,,,,
123,GB3HI,145.7,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Isle Of Mull,,,,
124,GB3HJ,433.025,+,1.6,Tone,118.8,118.8,023,NN,FM,25.00,,Harrogate,,,,
125,GB3HK,433.05,+,1.6,Tone,118.8,118.8,023,NN,FM,25.00,,Selkirk,,,,
126,GB3HM,50.82,+,0.5,Tone,71.9,71.9,023,NN,FM,Belper,,,,
